(( 0 25 Midsize 29 4 2.5 Fwd Gas 36 Mazda 6 M 2014 ))
(( 1 26 Midsize 30 4 2.5 Fwd Gas 37 Mazda 6 A 2014 ))
(( 2 25 SUV-Small 27 4 2.5 Fwd Gas 31 Mazda CX-5-2WD A 2014 ))
(( 3 26 SUV-Small 29 4 2 Fwd Gas 34 Mazda CX-5-2WD M 2014 ))
(( 4 26 SUV-Small 28 4 2 Fwd Gas 32 Mazda CX-5-2WD A 2014 ))
(( 5 24 SUV-Small 26 4 2.5 4wd Gas 29 Mazda CX-5-4WD A 2014 ))
(( 6 25 SUV-Small 27 4 2 4wd Gas 30 Mazda CX-5-4WD A 2014 ))
(( 7 19 Subcompact 22 6 3.7 Rwd Gas 29 Ford Mustang M 2014 ))
(( 8 19 Subcompact 23 6 3.7 Rwd Gas 30 Ford Mustang A 2014 ))
(( 9 15 Subcompact 18 8 5.8 Rwd Gas 24 Ford Mustang M 2014 ))
(( 10 18 Subcompact 20 8 5 Rwd Gas 25 Ford Mustang A 2014 ))
(( 11 22 SUV-Small 24 4 2.5 Awd Gas 28 Subaru Forester-AWD M 2014 ))
(( 12 24 SUV-Small 27 4 2.5 Awd Gas 31 Subaru Forester-AWD A 2014 ))
(( 13 23 SUV-Small 25 4 2 Awd Gas 27 Subaru Forester-AWD A 2014 ))
(( 14 19 Subcompact 23 6 3.7 Rwd Gas 29 Ford Mustang-Conv A 2014 ))
(( 15 16 Subcompact 19 8 5 Rwd Gas 25 Ford Mustang M 2014 ))
(( 16 16 Subcompact 19 6 3.8 Awd Gas 23 Nissan Gt-R A 2014 ))
(( 17 24 Large 28 6 3 Awd Diesel 36 Audi A8-L A 2014 ))
(( 18 20 SUV-Small 22 4 2.4 Fwd Gas 26 Kia Sorento-2wd A 2014 ))
(( 19 19 SUV-Small 21 4 2.4 Fwd Gas 27 Kia Sorento-2wd M 2014 ))
(( 20 18 SUV-Small 21 6 3.3 Fwd Gas 25 Kia Sorento-2wd A 2014 ))
(( 21 19 SUV-Small 21 4 2.4 4wd Gas 24 Kia Sorento-4wd A 2014 ))
(( 22 18 SUV-Small 20 6 3.3 4wd Gas 23 Kia Sorento-4wd A 2014 ))
(( 23 17 SUV-Small 19 6 3.5 Awd Gas 22 Nissan Murano-Crosscabriolet A 2014 ))
(( 24 13 Two-Seater 16 10 5.2 Awd Gas 22 Audi R8-Spyder A 2014 ))
(( 25 13 Two-Seater 16 10 5.2 Awd Gas 22 Audi R8 A 2014 ))
(( 26 14 Two-Seater 17 8 4.2 Awd Gas 23 Audi R8-Spyder A 2014 ))
(( 27 14 Two-Seater 17 8 4.2 Awd Gas 23 Audi R8 A 2014 ))
(( 28 12 Two-Seater 14 10 5.2 Awd Gas 19 Audi R8-Spyder M 2014 ))
(( 29 12 Two-Seater 14 10 5.2 Awd Gas 19 Audi R8 M 2014 ))
(( 30 11 Two-Seater 14 8 4.2 Awd Gas 20 Audi R8-Spyder M 2014 ))
(( 31 11 Two-Seater 14 8 4.2 Awd Gas 20 Audi R8 M 2014 ))
(( 32 13 Minicompact 15 12 5.9 Rwd Gas 19 Aston-Martin Db9 A 2014 ))
(( 33 13 Minicompact 15 12 5.9 Rwd Gas 19 Aston-Martin Vanquish A 2014 ))
(( 34 13 Subcompact 15 12 5.9 Rwd Gas 19 Aston-Martin Rapide-S A 2014 ))
(( 35 14 Subcompact 17 8 5 Rwd Gas 22 Roush-Performance Stage-3-Mustang M 2014 ))
(( 36 21 SUV-Small 24 4 2.4 Fwd Gas 28 Jeep Compass-Fwd A 2014 ))
(( 37 21 SUV-Small 24 4 2.4 Fwd Gas 28 Jeep Patriot-Fwd A 2014 ))
(( 38 21 SUV-Small 24 4 2 Fwd Gas 28 Jeep Compass-Fwd A 2014 ))
(( 39 21 SUV-Small 24 4 2 Fwd Gas 28 Jeep Patriot-Fwd A 2014 ))
(( 40 23 SUV-Small 25 4 2.4 Fwd Gas 28 Jeep Patriot-Fwd M 2014 ))
(( 41 23 SUV-Small 25 4 2.4 Fwd Gas 28 Jeep Compass-Fwd M 2014 ))
(( 42 23 SUV-Small 25 4 2 Fwd Gas 30 Jeep Compass-Fwd M 2014 ))
(( 43 21 SUV-Small 23 4 2.4 4wd Gas 27 Jeep Compass-4wd A 2014 ))
(( 44 21 SUV-Small 23 4 2.4 4wd Gas 27 Jeep Patriot-4wd A 2014 ))
(( 45 23 SUV-Small 25 4 2.4 4wd Gas 28 Jeep Compass-4wd M 2014 ))
(( 46 23 SUV-Small 25 4 2.4 4wd Gas 28 Jeep Patriot-4wd M 2014 ))
(( 47 13 SUV-Standard 15 8 6.4 4wd Gas 19 Jeep Grand-Cherokee-SRT8 A 2014 ))
(( 48 14 SUV-Standard 17 8 4.8 Awd Gas 21 Porsche Cayenne-Turbo A 2014 ))
(( 49 15 Subcompact 17 8 5 Rwd Gas 22 Roush-Performance Stage-3-Mustang A 2014 ))
(( 50 16 Subcompact 19 6 3.8 Awd Gas 23 Nissan Gt-R A 2015 ))
(( 51 20 Compact 23 5 2.5 Awd Gas 28 Volvo S60-Awd A 2015 ))
(( 52 26 Midsize 30 4 2.5 Fwd Gas 37 Mazda 6 A 2015 ))
(( 53 28 Midsize 32 4 2.5 Fwd Gas 39 Mazda 6 A 2015 ))
(( 54 25 Midsize 29 4 2.5 Fwd Gas 35 Mazda 6 M 2015 ))
(( 55 18 Large 21 6 3.8 Rwd Gas 26 Kia K900 A 2015 ))
(( 56 15 Large 18 8 5 Rwd Gas 23 Kia K900 A 2015 ))
(( 57 18 SUV-Small 21 6 3.3 Fwd Gas 25 Kia Sorento-Fwd A 2015 ))
(( 58 26 SUV-Small 28 4 2 Fwd Gas 32 Mazda CX-5-2WD A 2015 ))
(( 59 26 SUV-Small 29 4 2 Fwd Gas 34 Mazda CX-5-2WD M 2015 ))
(( 60 25 SUV-Small 27 4 2.5 Fwd Gas 31 Mazda CX-5-2WD A 2015 ))
(( 61 19 SUV-Small 21 4 2.4 Awd Gas 25 Kia Sorento-Awd A 2015 ))
(( 62 18 SUV-Small 20 6 3.3 Awd Gas 23 Kia Sorento-Awd A 2015 ))
